duration_range,avg_drop_off_probability
0-10min,0.5485339478189843
10-20min,0.5497234370559454
20-30min,0.5542534324721541
30-40min,0.5588844888674545
40-50min,0.5604660734597458
50-60min,0.5661341572428633
60-70min,0.5569518709990218
70-80min,0.5478717936919286
80-90min,0.5365921053272938
90-100min,0.514243417860646
100-110min,0.5568181791088798
110-120min,0.6499999910593033
120-130min,0.5640555553966098
130-140min,0.5143846124410629
140-150min,0.5980833334227403
150-160min,0.5109999999403954
160-170min,0.5870000123977661
