duration_range,avg_drop_off_probability
0-10min,0.43118170918683857
10-20min,0.4338051355092187
20-30min,0.43864131614991825
30-40min,0.44378485596882034
40-50min,0.4430585013144345
50-60min,0.4548992870936632
60-70min,0.44372841715812683
70-80min,0.4375802477200826
80-90min,0.42310840172092445
90-100min,0.4164341081713521
100-110min,0.414300000667572
110-120min,0.5097499936819077
120-130min,0.4710833306113879
130-140min,0.4703571434531893
140-150min,0.5106666684150696
150-160min,0.4483333296245999
160-170min,0.44750000536441803
